id,customer_id,age,income_fcfa,city,country,signup_date,last_purchase_date,gender,segment,product_category,quantity,unit_price_fcfa,total_amount_fcfa,payment_method,email,phone,is_member,latitude,longitude
1,25795,43,810409.0,Dakar,Senegal,2022-12-25,2022-08-30,M,Standard,Equipment,3,25194,75582,BankTransfer,user25795@companymail.com,+221 388642288,yes,14.193702999914109,-17.793361389749016
2,10860,23,385954.0,Abidjan,Cote dIvoire,2023-10-17,2025-05-06,M,Corporate,Logistics,4,45685,182740,BankTransfer,user10860@yahoo.com,309479,1,12.292866207542334,-18.429678206114026
3,86820,64,1318884.0,Thiès,Mauritania,2022-04-15,2024-09-18,female,Standard,Transport,5,38413,209072,Cheque,user86820@example.com,399388,no,17.88188271710821,-16.339458046654723
4,64886,28,472439.0,Kaolack,Senegal,2022-02-25,2023-04-05,M,Budget	,Travel,2,11771,23542,BankTransfer,user64886@gmail.com,+221737526264,0,13.379337474399767,-16.83132041847397
5,16265,32,394415.0,Abidjan,Senegal,2022-07-17,2024-01-09,Unknown,Standard,Consulting,5,39091,195455,Card,user16265@yahoo.com,00221737929854,yes,15.684966969489244,-16.027797771624765
6,92386,37,372097.0,,Senegal,2024-08-13,2025-07-16,male,Corporate,Transport,6,31977,191862,MobileMoney,user92386@companymail.com,+221215064389,False,13.758653710035638,-16.983073042910146
7,47194,40,388669.0,Thiès,Cote dIvoire,2025-09-25,2025-06-08,male,Budget,Transport,2,33653,67306,Cash,user47194@example..com,+221325460411,1,13.469225380474972,-16.146955784948254
8,97498,43,480939.0,Saint-Louis,Senegal,2024-03-23,2024-01-12,male,Budget,Equipment,3,24956,74868,BankTransfer,user97498@yahoo.com,+221189234334,True,10.879491637437898,-17.119904421205213
9,54131,43,2031830.0,Saint-Louis,Senegal,2024-10-30,2022-06-16,M,Standard,Transport,6,39179,235074,BankTransfer,user54131@example.com,885259325,yes,15.896349205981133,-19.378280661648944
10,70263,33,367209.0,Dakar,Senegal,2022-01-09,2023-10-01,,Standard,Transport,10,47605,476050,BankTransfer,user70263@companymail.com,00221518750136,0,17.298362505258368,-17.387996219290212
11,26023,43,374441.0,Thiès,Senegal,2022-08-04,2025-10-16,,Standard,Logistics,6,27296,163776,Card,user26023@yahoo.com,+221 491090468,0,12.868064837269696,-19.54315967911206
12,51090,33,468063.0,Saint-Louis,Senegal,2022-08-29,2023-08-15,male,Budget,Transport,5,14811,74055,MobileMoney,user51090@gmail.com,+221045530293,no,11.609541770002657,-19.74112981419255
13,77221,42,865591.0,Saint-Louis,Cote dIvoire,2022-10-30,2024-03-09,M,VIP,Consulting,5,31363,190015,Cash,user77221@gmail.com,+221348388048,no,16.30663208547566,-18.408450008153252
14,74820,41,191839.0,Bamako,Mali,2025-03-23,2022-01-18,M,NGO,Transport,5,44075,220375,Cash,user74820@gmail.com,+221 319110290,1,11.407517301787497,-17.758269482207528
15,10769,44,591288.0,Saint-Louis,Cote dIvoire,2022-08-10,2023-02-27,FEMALE,Corporate,Consulting,4,29948,119792,MobileMoney,user10769example,+221 328078603,yes,17.139065871896516,-17.294324080956567
16,69735,43,275556.0,Kaolack,Senegal,2025-04-20,2024-03-19,M,Standard,Transport,3,17029,51087,Card,user69735@outlook.com,00221321056588,0,12.891209754090758,-14.650863517910008
17,72955,30,,Saint-Louis,Cote dIvoire,2022-01-25,2023-05-04,Unknown,Budget,Transport,3,44159,132477,Cheque,user72955@gmail.com,+221 180406851,yes,12.493414514350746,-18.895392247622528
18,74925,41,334619.0,Bamako,Mali,2024-12-07,2025-05-04,Unknown,Standard,Transport,8,51984,415872,Cash,user74925@yahoo.com,+221287679526,yes,15.196924842262582,-16.809444220575536
19,77969,43,112932.0,Abidjan,Mali,2022-11-09,2025-08-29,F,Standard,Travel,5,35240,176200,BankTransfer,user77969@example.com,+221 947667922,1,12.623721429977124,-17.045916858168543
20,15311,20,561715.0,Kaolack,Mauritania,2022-07-04,2021-10-17,M,Standard,Travel,4,15731,62924,MobileMoney,user15311@outlook..com,+221095597550,yes,13.28577783741358,-19.225884862398193
21,93104,32,558880.0,Abidjan,Senegal,2025-11-14,2023-02-17,M,Standard,Transport,2,31186,62372,BankTransfer,user93104@outlook.com,+221 698673807,False,15.407963865342012,-17.178777641380364
22,63707,42,317920.0,Thiès,Cote dIvoire,2022-03-02,2024-02-24,female,Budget,Equipment,2,36818,73636,BankTransfer,user63707@gmail.com,+221015428721,True,9.841775325666706,-14.391835754468058
23,95305,56,306814.0,Kaolack,Senegal,2023-12-12,2022-07-25,female,Standard,Consulting,3,25283,75849,BankTransfer,user95305@example.com,+221480924123,1,17.984838491856642,-16.840481349349798
24,38693,45,204880.0,Thiès,Mauritania,2023-01-12,2024-12-27,Unknown,Standard,Travel,3,42000,126000,Card,user38693@example.com,+221 808850574,0,14.787280264931475,-16.720248212918076
25,81932,56,,Saint-Louis,Senegal,2022-05-09,2025-10-21,,Budget,Transport,5,24110,120550,BankTransfer,user81932example,+221074791398,True,12.114067975192944,-19.515984992828002
26,35658,30,764007.0,Bamako,Cote dIvoire,2023-11-03,2025-05-25,female,Budget,Consulting,4,35308,141232,Cash,user35658@yahoo.com,562019660,yes,12.665509261426315,-11.493423446385371
27,94478,38,265554.0,Abidjan,Mali,2023-06-01,2024-04-04,M,VIP,Transport,5,32260,161300,Cash,user94478gmail,00221955660947,True,16.683292756521602,-19.3450691109675
28,28431,45,325475.0,Dakar,Cote dIvoire,2025-09-22,2025-12-01,M,Corporate,Transport,7,42390,302132,Card,user28431@companymail.com,263589,yes,15.902105870148207,-22.403350381642433
29,12747,18,433232.0,Bamako,Senegal,2024-09-28,2025-11-16,,Standard,Travel,3,34829,104487,BankTransfer,user12747@example.com,00221152016317,no,17.47356131457042,-14.81944763934577
30,69150,53,1757709.0,Ziguinchor,Senegal,2024-04-12,2022-12-20,M,Standard,Logistics,6,32642,195852,MobileMoney,user69150@companymail.com,+221100256848,no,13.33451431039153,-17.74445111894528
31,75725,18,624106.0,,Cote dIvoire,2024-09-07,2023-09-29,M,Standard,Transport,2,25366,50732,BankTransfer,user75725@outlook.com,00221278353815,1,15.293167674301605,-18.309125462841223
32,94654,47,,Dakar,Senegal,2022-01-24,2022-08-31,female,Standard,Transport,5,35417,177085,MobileMoney,user94654@example.com,+221293179709,yes,15.553135823567354,-19.03666134123458
33,45773,43,539971.0,,Senegal,2025-10-13,2024-07-18,F,Corporate,Equipment,3,31878,95634,Card,,561878933,no,16.090535000504474,-11.784856127052485
34,77435,18,197006.0,Dakar,Mali,2022-11-17,2024-02-07,,Standard,Consulting,6,24554,147324,BankTransfer,user77435@example..com,+221 076689610,no,16.95456224686414,-16.33622916418595
35,66886,18,692315.0,Dakar,Senegal,2025-12-25,2024-08-10,female,Budget,Transport,3,36914,110742,Cash,user66886@gmail.com,+221643499595,no,13.265472188311305,-15.750746335064743
36,76803,52,1229762.0,Thiès,Mali,2022-09-26,2022-03-24,M,VIP,Travel,5,39368,196840,BankTransfer,user76803@companymail..com,+221 235817818,0,14.471659464479037,-16.9121531292532
37,41551,50,1232898.0,Thiès,Senegal,2024-12-06,2025-07-03,MALE,Standard,Transport,3,30939,92817,Card,,517987,1,13.47970050883971,-16.58985115966441
38,21394,24,699373.0,Bamako,Senegal,2022-12-16,2024-10-14,F,NGO,Transport,7,46179,323253,MobileMoney,user21394@companymail.com,722888367,yes,14.594776253287248,-13.204126168321757
39,79092,24,317095.0,Ziguinchor,Cote dIvoire,2023-02-17,2022-03-29,F,Budget,Travel,3,38168,114504,Card,user79092@companymail.com,+221 408522907,yes,16.09686556412595,-18.152563983683084
40,13890,41,206171.0,Nouakchott,Mali,2025-02-10,2022-04-19,F,Standard,Transport,1,19594,19594,Cash,user13890@outlook.com,+221068577868,1,11.391928999478594,-21.770812636562187
41,51606,35,194246.0,Saint-Louis,Cote dIvoire,2022-11-30,2024-03-28,M,Standard,Transport,3,51049,153147,Card,user51606@outlook.com,+221057983188,no,16.918743138918572,-14.795836037316668
42,90038,48,83556.0,Abidjan,Mauritania,2023-03-28,2024-05-09,F,Standard,Logistics,4,44204,176816,Cash,user90038@yahoo.com,+221241203412,yes,12.4216357514725,-15.909895163272822
43,97313,41,682362.0,Abidjan,Senegal,2025-08-23,2025-01-19,M,Standard,Equipment,3,47022,141066,Card,user97313@gmail.com,+221568341534,no,14.085259360605537,-17.07606056134487
